"Time"	"Temperature   (*C)"	"Temperature   (*F)"
9/14/00 9:00:00.0 AM	10.39	50.72
9/14/00 9:30:00.0 AM	10.39	50.72
9/14/00 10:00:00.0 AM	10.08	50.16
9/14/00 10:30:00.0 AM	10.24	50.44
9/14/00 11:00:00.0 AM	10.24	50.44
9/14/00 11:30:00.0 AM	10.24	50.44
9/14/00 12:00:00.0 PM	10.24	50.44
9/14/00 12:30:00.0 PM	10.24	50.44
9/14/00 1:00:00.0 PM	9.77	49.59
9/14/00 1:30:00.0 PM	9.92	49.87
9/14/00 2:00:00.0 PM	10.08	50.16
9/14/00 2:30:00.0 PM	10.24	50.44
9/14/00 3:00:00.0 PM	10.08	50.16
9/14/00 3:30:00.0 PM	10.39	50.72
9/14/00 4:00:00.0 PM	10.39	50.72
9/14/00 4:30:00.0 PM	10.39	50.72
9/14/00 5:00:00.0 PM	10.55	51.00
9/14/00 5:30:00.0 PM	10.86	51.56
9/14/00 6:00:00.0 PM	10.55	51.00
9/14/00 6:30:00.0 PM	10.39	50.72
9/14/00 7:00:00.0 PM	10.55	51.00
9/14/00 7:30:00.0 PM	10.55	51.00
9/14/00 8:00:00.0 PM	10.55	51.00
9/14/00 8:30:00.0 PM	10.71	51.28
9/14/00 9:00:00.0 PM	10.39	50.72
9/14/00 9:30:00.0 PM	10.24	50.44
9/14/00 10:00:00.0 PM	10.24	50.44
9/14/00 10:30:00.0 PM	10.08	50.16
9/14/00 11:00:00.0 PM	10.08	50.16
9/14/00 11:30:00.0 PM	10.08	50.16
9/15/00 12:00:00.0 AM	9.92	49.87
9/15/00 12:30:00.0 AM	9.92	49.87
9/15/00 1:00:00.0 AM	10.08	50.16
9/15/00 1:30:00.0 AM	10.08	50.16
9/15/00 2:00:00.0 AM	10.08	50.16
9/15/00 2:30:00.0 AM	10.08	50.16
9/15/00 3:00:00.0 AM	10.24	50.44
9/15/00 3:30:00.0 AM	10.24	50.44
9/15/00 4:00:00.0 AM	10.39	50.72
9/15/00 4:30:00.0 AM	10.24	50.44
9/15/00 5:00:00.0 AM	10.24	50.44
9/15/00 5:30:00.0 AM	10.39	50.72
9/15/00 6:00:00.0 AM	11.02	51.84
9/15/00 6:30:00.0 AM	10.55	51.00
9/15/00 7:00:00.0 AM	10.39	50.72
9/15/00 7:30:00.0 AM	10.55	51.00
9/15/00 8:00:00.0 AM	10.55	51.00
9/15/00 8:30:00.0 AM	10.39	50.72
9/15/00 9:00:00.0 AM	10.39	50.72
9/15/00 9:30:00.0 AM	10.39	50.72
9/15/00 10:00:00.0 AM	10.39	50.72
9/15/00 10:30:00.0 AM	10.55	51.00
9/15/00 11:00:00.0 AM	10.39	50.72
9/15/00 11:30:00.0 AM	10.24	50.44
9/15/00 12:00:00.0 PM	10.24	50.44
9/15/00 12:30:00.0 PM	10.24	50.44
9/15/00 1:00:00.0 PM	10.08	50.16
9/15/00 1:30:00.0 PM	10.24	50.44
9/15/00 2:00:00.0 PM	10.39	50.72
9/15/00 2:30:00.0 PM	10.55	51.00
9/15/00 3:00:00.0 PM	10.55	51.00
9/15/00 3:30:00.0 PM	10.71	51.28
9/15/00 4:00:00.0 PM	10.39	50.72
9/15/00 4:30:00.0 PM	10.39	50.72
9/15/00 5:00:00.0 PM	10.39	50.72
9/15/00 5:30:00.0 PM	10.86	51.56
9/15/00 6:00:00.0 PM	10.55	51.00
9/15/00 6:30:00.0 PM	10.55	51.00
9/15/00 7:00:00.0 PM	10.55	51.00
9/15/00 7:30:00.0 PM	10.55	51.00
9/15/00 8:00:00.0 PM	10.55	51.00
9/15/00 8:30:00.0 PM	10.55	51.00
9/15/00 9:00:00.0 PM	10.39	50.72
9/15/00 9:30:00.0 PM	10.39	50.72
9/15/00 10:00:00.0 PM	10.39	50.72
9/15/00 10:30:00.0 PM	10.24	50.44
9/15/00 11:00:00.0 PM	10.24	50.44
9/15/00 11:30:00.0 PM	10.24	50.44
9/16/00 12:00:00.0 AM	10.24	50.44
9/16/00 12:30:00.0 AM	10.08	50.16
9/16/00 1:00:00.0 AM	10.08	50.16
9/16/00 1:30:00.0 AM	10.08	50.16
9/16/00 2:00:00.0 AM	9.92	49.87
9/16/00 2:30:00.0 AM	9.77	49.59
9/16/00 3:00:00.0 AM	9.61	49.31
9/16/00 3:30:00.0 AM	9.61	49.31
9/16/00 4:00:00.0 AM	10.24	50.44
9/16/00 4:30:00.0 AM	10.08	50.16
9/16/00 5:00:00.0 AM	10.24	50.44
9/16/00 5:30:00.0 AM	10.24	50.44
9/16/00 6:00:00.0 AM	10.55	51.00
9/16/00 6:30:00.0 AM	10.55	51.00
